11MU1A,HINL,teacher,active
08RELB,HINL,teacher,active
08MUSC,HINL,teacher,active
08MUSD,HINL,teacher,active
07MUSB,HINL,teacher,active
07MUSC,HINL,teacher,active
12PDHA,JANB,teacher,active
12PDHA,JANB,teacher,active
10PDHA,JANB,teacher,active
09PASB,JANB,teacher,active
10ENGH,KEOK,teacher,active
09COMB,KEOK,teacher,active
07TENA,KEOK,teacher,active
12MGEC,KIDC,teacher,active
11MATA,KIDC,teacher,active
10M52A,KIDC,teacher,active
10RICB,KIDC,teacher,active
10M53B,KIDC,teacher,active
07MATC,KIDC,teacher,active
12PDHB,KILJ,teacher,active
12PDHB,KILJ,teacher,active
10PDHF,KILJ,teacher,active
10PASC,KILJ,teacher,active
09PDHD,KILJ,teacher,active
09PDHE,KILJ,teacher,active
08PDHH,KILJ,teacher,active
07RICA,KILJ,teacher,active
12VD1A,KNOJ,teacher,active
09VARA,KNOJ,teacher,active
08VARA2,KNOJ,teacher,active
08VARB1,KNOJ,teacher,active
08VARD1,KNOJ,teacher,active
07VARB,KNOJ,teacher,active
11TENA,NEW,teacher,active
10DTCA,NEW,teacher,active
10ITTA,NEW,teacher,active
09RELC,NEW,teacher,active
09DTCA,NEW,teacher,active
08TASC,NEW,teacher,active
08TASG,NEW,teacher,active
07TASC,NEW,teacher,active
12RICB,LALR,teacher,active
12SSCA,LALR,teacher,active
12SSCA,LALR,teacher,active
11BIOB,LALR,teacher,active
09SCID,LALR,teacher,active
09SCIF,LALR,teacher,active
07SCIE,LALR,teacher,active
11ENSA,LANE,teacher,active
10SCIA,LANE,teacher,active
09SCIC,LANE,teacher,active
08SCIG,LANE,teacher,active
07DHAB,LANE,teacher,active
07SCIF,LANE,teacher,active
12BSTC,LAWD,teacher,active
12BSTC,LAWD,teacher,active
11DHAA,LAWD,teacher,active
10HSIA,LAWD,teacher,active
10HIEA,LAWD,teacher,active
09RELD,LAWD,teacher,active
09HSIG,LAWD,teacher,active
08HSIF,LAWD,teacher,active
12EGAB,LEVM,teacher,active
11MHSA,LEVM,teacher,active
10ENGG,LEVM,teacher,active
09ENGB,LEVM,teacher,active
12TENA,LEWS,teacher,active
12VARA,LEWS,teacher,active
12VARA,LEWS,teacher,active
11VARA,LEWS,teacher,active
08VARA1,LEWS,teacher,active
07VARA,LEWS,teacher,active
12SURA,LISD,teacher,active
12BIOA,LISD,teacher,active
12BIOA,LISD,teacher,active
12BIOB,LISD,teacher,active
12BIOB,LISD,teacher,active
10SCIC,LISD,teacher,active
10SCID,LISD,teacher,active
12RICA,MACD,teacher,active
12SL1A,MACD,teacher,active
11SR1D,MACD,teacher,active
10PDHE,MACD,teacher,active
10PASB,MACD,teacher,active
08PDHF,MACD,teacher,active
07PDHD,MACD,teacher,active
07PDHE,MACD,teacher,active
12ESTA,MAGP,teacher,active
11EGAB,MAGP,teacher,active
11EX1A,MAGP,teacher,active
11ENFB,MAGP,teacher,active
09ENGC,MAGP,teacher,active
11CONA,MCGS,teacher,active
11ITTA,MCGS,teacher,active
10ITTB,MCGS,teacher,active
10TENB,MCGS,teacher,active
09ITTC,MCGS,teacher,active
08TASA,MCGS,teacher,active
08TASK,MCGS,teacher,active
12EGAA,MCSC,teacher,active
11SURB,MCSC,teacher,active
11EGAC,MCSC,teacher,active
10ENGA,MCSC,teacher,active
12MGEB,MEEC,teacher,active
11MGEB,MEEC,teacher,active
09M52C,MEEC,teacher,active
09M53B,MEEC,teacher,active
08MATH,MEEC,teacher,active
07SURB,MEEC,teacher,active
10SCIF,MONS,teacher,active
09SCIE,MONS,teacher,active
09SCIG,MONS,teacher,active
08SCIE,MONS,teacher,active
08SURB,MONS,teacher,active
07SCIB,MONS,teacher,active
11MGED,NAIJ,teacher,active
10M52C,NAIJ,teacher,active
10M52E,NAIJ,teacher,active
09RELA,NAIJ,teacher,active
09RELB,NAIJ,teacher,active
09RICB,NAIJ,teacher,active
08MATG,NAIJ,teacher,active
12EGSB,NIGH,teacher,active
11TENB,NIGH,teacher,active
08ENGE,NIGH,teacher,active
08ENGH,NIGH,teacher,active
07RELF,NIGH,teacher,active
07ENGF,NIGH,teacher,active
07HSIF,NIGH,teacher,active
07EMBF,NIGH,teacher,active
10SURB,PASJ,teacher,active
10RELG,PASJ,teacher,active
09M52B,PASJ,teacher,active
09RELE,PASJ,teacher,active
09RELF,PASJ,teacher,active
09M52E,PASJ,teacher,active
08MATD,PASJ,teacher,active
11PDHA,PEAR,teacher,active
10PDHG,PEAR,teacher,active
